ID,Year,Pref,Pref_J,Ninka,Under5,Ninka_Rate,FemOccupRate,UnOccup
1,2000,1,Hokkaido,"44,994","288,392",0.156,0.468226576,0.047757487
2,2000,2,Aomori,"32,830","80,551",0.408,0.547496742,0.054232972
3,2000,3,Iwate,"22,716","76,474",0.297,0.567941617,0.04025419
4,2000,4,Miyagi,"14,003","131,110",0.107,0.487767569,0.048955172
5,2000,5,Akita,"17,185","57,436",0.299,0.553021753,0.043128613
6,2000,6,Yamagata,"18,235","67,210",0.271,0.602058763,0.0334105
7,2000,7,Fukushima,"15,370","123,945",0.124,0.560434592,0.042883859
8,2000,8,Ibaraki,"34,588","169,716",0.204,0.503326993,0.042380376
9,2000,9,Tochigi,"20,530","112,683",0.182,0.545866005,0.041123804
10,2000,10,Gunma,"35,340","116,207",0.304,0.545595672,0.041193869
11,2000,11,Saitama,"62,409","399,463",0.156,0.471941313,0.046968017
12,2000,12,Chiba,"55,420","325,838",0.170,0.457619177,0.046870371
13,2000,13,Tokyo,"152,983","562,214",0.272,0.45935104,0.048153999
14,2000,14,Kanagawa,"34,117","478,335",0.071,0.428415595,0.047937172
15,2000,15,Nigata,"52,006","134,483",0.387,0.592179053,0.038592177
16,2000,16,Toyama,"22,635","60,721",0.373,0.631177141,0.034446105
17,2000,17,Ishikawa,"25,675","67,866",0.378,0.622875507,0.036479216
18,2000,18,Fukui,"23,605","48,904",0.483,0.641379015,0.030801011
19,2000,19,Yamanashi,"19,971","51,744",0.386,0.562141598,0.03787229
20,2000,20,Nagano,"50,676","127,004",0.399,0.596189763,0.0310015
21,2000,21,Gifu,"38,390","122,113",0.314,0.566913681,0.037216673
22,2000,22,Shizuoka,"33,700","213,230",0.158,0.565316316,0.037950777
23,2000,23,Aichi,"92,439","432,013",0.214,0.52298856,0.040149464
24,2000,24,Mie,"37,874","105,492",0.359,0.554106656,0.038706429
25,2000,25,Shiga,"21,875","83,766",0.261,0.51042138,0.036534681
26,2000,26,Kyoto,"23,360","139,856",0.167,0.486163057,0.048804647
27,2000,27,Osaka,"66,267","504,172",0.131,0.421774878,0.070017173
28,2000,28,Hyogo,"46,723","319,066",0.146,0.435745174,0.053497523
29,2000,29,Nara,"21,865","80,276",0.272,0.398053343,0.049289791
30,2000,30,Wakayama,"16,035","58,592",0.274,0.48299103,0.049518053
31,2000,31,Tottori,"16,390","33,436",0.490,0.627127894,0.035719568
32,2000,32,Shimane,"16,185","40,017",0.404,0.617649464,0.0296229
33,2000,33,Okayama,"24,694","111,527",0.221,0.546236268,0.043326815
34,2000,34,Hiroshima,"27,792","163,224",0.170,0.534939382,0.042589673
35,2000,35,Yamaguchi,"24,819","78,931",0.314,0.542489732,0.040580146
36,2000,36,Tokushima,"15,600","42,875",0.364,0.549209031,0.048942414
37,2000,37,Kagawa,"13,585","56,446",0.241,0.555343218,0.047323267
38,2000,38,Ehime,"22,377","80,567",0.278,0.524849038,0.049977441
39,2000,39,Kochi,"15,705","40,976",0.383,0.630215306,0.053080578
40,2000,40,Fukuoka,"48,298","279,550",0.173,0.49755781,0.058552018
41,2000,41,Saga,"17,765","52,527",0.338,0.586095715,0.044248082
42,2000,42,Nagasaki,"23,470","86,964",0.270,0.535992801,0.048547597
43,2000,43,Kumamoto,"32,160","104,644",0.307,0.578713303,0.044238947
44,2000,44,Oita,"13,615","66,089",0.206,0.538753681,0.044586947
45,2000,45,Miyazaki,"20,545","68,154",0.301,0.620733864,0.049923422
46,2000,46,Kagoshima,"24,098","98,955",0.244,0.575433393,0.049046071
47,2000,47,Okinanwa,"22,793","99,316",0.229,0.493454095,0.093702794
48,2005,1,Hokkaido,"43,771","266,155",0.164,0.492375512,0.065160238
49,2005,2,Aomori,"33,118","70,672",0.469,0.557948839,0.08383793
50,2005,3,Iwate,"24,548","69,207",0.355,0.575871584,0.062186426
51,2005,4,Miyagi,"15,235","123,754",0.123,0.498817092,0.068699973
52,2005,5,Akita,"16,740","50,052",0.334,0.564741993,0.06131714
53,2005,6,Yamagata,"19,218","61,244",0.314,0.608991173,0.048084938
54,2005,7,Fukushima,"16,372","113,144",0.145,0.568285902,0.060449628
55,2005,8,Ibaraki,"38,593","158,553",0.243,0.517043823,0.058615903
56,2005,9,Tochigi,"22,005","108,821",0.202,0.553647881,0.053958832
57,2005,10,Gunma,"38,594","109,573",0.352,0.565587875,0.056581216
58,2005,11,Saitama,"58,134","378,314",0.154,0.494139333,0.056878277
59,2005,12,Chiba,"52,717","318,784",0.165,0.477547702,0.056080439
60,2005,13,Tokyo,"160,616","567,030",0.283,0.471437672,0.056472415
61,2005,14,Kanagawa,"27,859","471,176",0.059,0.457116192,0.054645412
62,2005,15,Nigata,"43,956","120,649",0.364,0.604882526,0.048131096
63,2005,16,Toyama,"21,195","57,529",0.368,0.644315505,0.04399232
64,2005,17,Ishikawa,"27,873","64,206",0.434,0.637444568,0.047081515
65,2005,18,Fukui,"24,820","45,130",0.550,0.648877231,0.04243507
66,2005,19,Yamanashi,"20,940","46,219",0.453,0.586934308,0.053459709
67,2005,20,Nagano,"51,495","119,232",0.432,0.601774937,0.046046524
68,2005,21,Gifu,"40,802","115,312",0.354,0.579825039,0.048213424
69,2005,22,Shizuoka,"31,950","204,609",0.156,0.57264832,0.045543465
70,2005,23,Aichi,"89,872","420,799",0.214,0.540265843,0.045902995
71,2005,24,Mie,"39,215","99,959",0.392,0.573289015,0.047215708
72,2005,25,Shiga,"24,213","82,788",0.292,0.531889458,0.047236476
73,2005,26,Kyoto,"24,401","134,056",0.182,0.509233679,0.06031223
74,2005,27,Osaka,"62,318","473,656",0.132,0.451241731,0.086093109
