index,country,year,gdp,infrate,trade,schooling,invest60,invest70,invest80,industry
1,USA,1960,2879,NA,9.693181,43.8,NA,NA,NA,NA
1,USA,1961,2929,1.075182,9.444654,NA,NA,NA,NA,NA
1,USA,1962,3103,1.116071,9.429324,NA,NA,NA,NA,NA
1,USA,1963,3227,1.214128,9.470706,NA,NA,NA,NA,NA
1,USA,1964,3420,1.308615,9.725879,NA,NA,NA,NA,NA
1,USA,1965,3667,1.668461,9.730347,43.8,NA,NA,NA,NA
1,USA,1966,3974,2.991,10.097592,NA,NA,NA,NA,NA
1,USA,1967,4154,2.775636,10.208102,NA,NA,NA,NA,NA
1,USA,1968,4494,4.217721,10.593937,NA,NA,NA,NA,NA
1,USA,1969,4805,5.414701,10.635633,NA,NA,NA,NA,NA
1,USA,1970,4999,5.895296,11.388641,44.4,NA,NA,NA,NA
1,USA,1971,5362,4.255929,11.367576,NA,NA,NA,NA,34.50863
1,USA,1972,5838,3.305615,11.967158,NA,NA,NA,NA,34.44429
1,USA,1973,6464,6.220064,13.713565,NA,NA,NA,NA,34.37521
1,USA,1974,6951,11.03526,17.316135,NA,NA,NA,NA,34.03606
1,USA,1975,7519,9.13193,16.37969,42.6,NA,NA,NA,33.22567
1,USA,1976,8300,5.737027,16.87366,NA,NA,NA,NA,33.76085
1,USA,1977,9146,6.48646,17.22059,NA,NA,NA,NA,34.26464
1,USA,1978,10229,7.647464,17.80619,NA,NA,NA,NA,34.03723
1,USA,1979,11306,11.26604,19.280546,NA,NA,NA,NA,33.62648
1,USA,1980,12186,13.50937,21.08158,62.9,0.23884,0.24568,22.376,33.51439
1,USA,1981,13533,10.31553,20.363241,NA,NA,NA,NA,34.08828
1,USA,1982,13940,6.160616,18.47162,NA,NA,NA,NA,32.90969
1,USA,1983,15008,3.212435,17.624308,NA,NA,NA,NA,31.49722
1,USA,1984,16549,4.317269,18.577013,NA,NA,NA,NA,31.87278
1,USA,1985,17600,3.561116,17.642408,57.4,NA,NA,NA,30.86452
1,USA,1986,18439,1.858736,17.954124,NA,NA,NA,NA,29.44326
1,USA,1987,19407,3.740876,19.116186,NA,NA,NA,NA,29.19973
1,USA,1988,20711,4.009088,20.330818,NA,NA,NA,NA,29.60649
1,USA,1989,22047,4.827003,20.730293,NA,NA,NA,NA,28.61904
1,USA,1990,23064,5.397956,21.18795,44.4,NA,NA,NA,27.85032
1,USA,1991,23507,4.234964,21.26635,NA,NA,NA,NA,26.62006
1,USA,1992,24509,3.02882,21.54221,NA,NA,NA,NA,25.72843
1,USA,1993,25409,2.951657,21.55765,NA,NA,NA,NA,25.61001
1,USA,1994,26670,2.607442,22.61822,NA,NA,NA,NA,26.08295
1,USA,1995,27574,2.80542,24.27398,44.6,NA,NA,NA,26.29285
1,USA,1996,28814,2.931204,24.58247,NA,NA,NA,NA,25.7854
1,USA,1997,30262,2.33769,25.59154,NA,NA,NA,NA,25.38429
1,USA,1998,31519,1.552279,24.690569,NA,NA,NA,NA,25.01884
1,USA,1999,33028,2.188027,NA,NA,NA,NA,NA,24.72505
1,USA,2000,34603,3.376857,NA,39.6,NA,NA,NA,24.44349
1,USA,2001,35341,2.826171,NA,NA,NA,NA,NA,23.04858
1,USA,2002,36180,1.586032,NA,NA,NA,NA,NA,NA
1,USA,2003,37548,2.270095,NA,NA,NA,NA,NA,NA
2,UK,1960,2158,NA,43.25547,24.5,NA,NA,NA,NA
2,UK,1961,2216,3.579418,41.53324,NA,NA,NA,NA,NA
2,UK,1962,2276,4.103672,40.404633,NA,NA,NA,NA,NA
2,UK,1963,2386,2.074689,40.406586,NA,NA,NA,NA,NA
2,UK,1964,2534,3.211382,40.518764,NA,NA,NA,NA,NA
2,UK,1965,2660,4.805041,39.225338,26.5,NA,NA,NA,NA
2,UK,1966,2794,3.908305,38.964634,NA,NA,NA,NA,NA
2,UK,1967,2923,2.423146,39.313187,NA,NA,NA,NA,NA
2,UK,1968,3173,4.731638,43.66513,NA,NA,NA,NA,NA
2,UK,1969,3391,5.461902,44.038982,NA,NA,NA,NA,NA
2,UK,1970,3615,6.361893,45.247738,28.9,NA,NA,NA,NA
2,UK,1971,3854,9.407875,44.9334,NA,NA,NA,NA,43.07859
2,UK,1972,4149,7.087912,43.559044,NA,NA,NA,NA,42.56008
2,UK,1973,4683,9.209851,49.80358,NA,NA,NA,NA,42.1354
2,UK,1974,5036,15.90322,60.96212,NA,NA,NA,NA,41.62375
2,UK,1975,5481,24.23508,53.56206,31,NA,NA,NA,40.48818
2,UK,1976,5953,16.53255,58.16979,NA,NA,NA,NA,41.08992
2,UK,1977,6489,15.88198,59.420418,NA,NA,NA,NA,41.33041
2,UK,1978,7176,8.215962,55.65679,NA,NA,NA,NA,41.46581
2,UK,1979,7973,13.46571,55.690353,NA,NA,NA,NA,41.82387
2,UK,1980,8502,17.97059,52.326874,32.9,0.2008,0.22602,17.588,42.3463
2,UK,1981,9161,11.87983,50.51421,NA,NA,NA,NA,41.89466
2,UK,1982,9917,8.590529,50.752407,NA,NA,NA,NA,41.49169
2,UK,1983,10669,4.607018,52.0913,NA,NA,NA,NA,40.90145
2,UK,1984,11336,4.953409,57.00433,NA,NA,NA,NA,40.38236
2,UK,1985,12068,6.065421,56.622364,35.7,NA,NA,NA,39.76278
2,UK,1986,12795,3.427615,52.056396,NA,NA,NA,NA,39.13434
2,UK,1987,13717,4.148918,51.936165,NA,NA,NA,NA,38.03052
2,UK,1988,14864,4.907976,49.64918,NA,NA,NA,NA,37.21299
2,UK,1989,15716,7.797271,51.64563,NA,NA,NA,NA,36.62967
2,UK,1990,16397,9.475588,51.46746,38.5,NA,NA,NA,35.17424
2,UK,1991,16681,5.853981,48.20938,NA,NA,NA,NA,33.12701
2,UK,1992,17069,3.732601,49.34976,NA,NA,NA,NA,31.88967
2,UK,1993,17845,1.564474,52.59363,NA,NA,NA,NA,31.27093
2,UK,1994,18975,2.47645,54.25776,NA,NA,NA,NA,31.69333
2,UK,1995,19860,3.410996,57.89684,39.9,NA,NA,NA,31.99648
2,UK,1996,20923,2.448706,59.84958,NA,NA,NA,NA,31.86726
2,UK,1997,22280,3.132333,57.84053,NA,NA,NA,NA,31.07413
2,UK,1998,23206,3.41817,55.989063,NA,NA,NA,NA,29.46092
2,UK,1999,23959,1.555385,NA,NA,NA,NA,NA,28.59877
2,UK,2000,25583,2.9271,NA,39.1,NA,NA,NA,28.47661
2,UK,2001,27026,1.820852,NA,NA,NA,NA,NA,27.47552
2,UK,2002,28969,1.634458,NA,NA,NA,NA,NA,26.99038
2,UK,2003,29609,2.9136320000000002,NA,NA,NA,NA,NA,26.59016
3,Austria,1960,1796,NA,48.126095,48.7,NA,NA,NA,NA
3,Austria,1961,1899,3.542256,46.52596,NA,NA,NA,NA,NA
3,Austria,1962,1977,4.381785,47.171013,NA,NA,NA,NA,NA
