Date,Time,Trend,Stock_J,Stock_K
20/08/28,13:00,1,23340,23700
20/08/28,13:01,2,23330,23690
20/08/28,13:02,3,23330,23705
20/08/28,13:03,4,23330,23705
20/08/28,13:04,5,23330,23705
20/08/28,13:05,6,23340,23690
20/08/28,13:06,7,23340,23685
20/08/28,13:07,8,23340,23705
20/08/28,13:08,9,23320,23685
20/08/28,13:09,10,23320,23675
20/08/28,13:10,11,23320,23645
20/08/28,13:11,12,23320,23630
20/08/28,13:12,13,23320,23625
20/08/28,13:13,14,23320,23635
20/08/28,13:14,15,23320,23625
20/08/28,13:15,16,23320,23640
20/08/28,13:16,17,23310,23640
20/08/28,13:17,18,23310,23640
20/08/28,13:18,19,23310,23645
20/08/28,13:19,20,23300,23625
20/08/28,13:20,21,23310,23620
20/08/28,13:21,22,23310,23610
20/08/28,13:22,23,23310,23630
20/08/28,13:23,24,23300,23625
20/08/28,13:24,25,23300,23595
20/08/28,13:25,26,23310,23620
20/08/28,13:26,27,23310,23615
20/08/28,13:27,28,23310,23615
20/08/28,13:28,29,23310,23615
20/08/28,13:29,30,23310,23615
20/08/28,13:30,31,23310,23615
20/08/28,13:31,32,23300,23580
20/08/28,13:32,33,23300,23590
20/08/28,13:33,34,23300,23595
20/08/28,13:34,35,23300,23585
20/08/28,13:35,36,23310,23585
20/08/28,13:36,37,23300,23535
20/08/28,13:37,38,23300,23550
20/08/28,13:38,39,23300,23550
20/08/28,13:39,40,23290,23510
20/08/28,13:40,41,23290,23520
20/08/28,13:41,42,23280,23520
20/08/28,13:42,43,23290,23505
20/08/28,13:43,44,23290,23515
20/08/28,13:44,45,23290,23540
20/08/28,13:45,46,23300,23550
20/08/28,13:46,47,23290,23545
20/08/28,13:47,48,23300,23555
20/08/28,13:48,49,23300,23550
20/08/28,13:49,50,23300,23490
20/08/28,13:50,51,23300,23530
20/08/28,13:51,52,23290,23495
20/08/28,13:52,53,23280,23530
20/08/28,13:53,54,23300,23530
20/08/28,13:54,55,23300,23550
20/08/28,13:55,56,23300,23575
20/08/28,13:56,57,23300,23535
20/08/28,13:57,58,23290,23570
20/08/28,13:58,59,23290,23570
20/08/28,13:59,60,23300,23570
20/08/28,14:00,61,23300,23565
20/08/28,14:01,62,23310,23570
20/08/28,14:02,63,23310,23570
20/08/28,14:03,64,23310,23570
20/08/28,14:04,65,23310,23570
20/08/28,14:05,66,23310,23580
20/08/28,14:06,67,23310,23565
20/08/28,14:07,68,23200,23525
20/08/28,14:08,69,22990,23505
20/08/28,14:09,70,22860,23515
20/08/28,14:10,71,22590,23475
20/08/28,14:11,72,22850,23490
20/08/28,14:12,73,22830,23475
20/08/28,14:13,74,22730,23510
20/08/28,14:14,75,22730,23495
20/08/28,14:15,76,22700,23510
20/08/28,14:16,77,22750,23515
20/08/28,14:17,78,22880,23525
20/08/28,14:18,79,22930,23530
20/08/28,14:19,80,22930,23530
20/08/28,14:20,81,22920,23530
20/08/28,14:21,82,22950,23550
20/08/28,14:22,83,23020,23560
20/08/28,14:23,84,23040,23555
20/08/28,14:24,85,23030,23555
20/08/28,14:25,86,22980,23565
20/08/28,14:26,87,22930,23545
20/08/28,14:27,88,22960,23550
20/08/28,14:28,89,22980,23550
20/08/28,14:29,90,22970,23560
20/08/28,14:30,91,22940,23565
20/08/28,14:31,92,22920,23565
20/08/28,14:32,93,22950,23595
20/08/28,14:33,94,22920,23600
20/08/28,14:34,95,22920,23595
20/08/28,14:35,96,22950,23595
20/08/28,14:36,97,22920,23615
20/08/28,14:37,98,22940,23585
20/08/28,14:38,99,22940,23580
20/08/28,14:39,100,22940,23595
20/08/28,14:40,101,22880,23595
20/08/28,14:41,102,22870,23590
20/08/28,14:42,103,22840,23585
20/08/28,14:43,104,22830,23590
20/08/28,14:44,105,22830,23590
20/08/28,14:45,106,22820,23590
20/08/28,14:46,107,22800,23590
20/08/28,14:47,108,22770,23560
20/08/28,14:48,109,22740,23555
20/08/28,14:49,110,22780,23555
20/08/28,14:50,111,22780,23555
20/08/28,14:51,112,22810,23565
20/08/28,14:52,113,22820,23555
20/08/28,14:53,114,22800,23530
20/08/28,14:54,115,22830,23540
20/08/28,14:55,116,22860,23545
20/08/28,14:56,117,22900,23555
20/08/28,14:57,118,22880,23555
20/08/28,14:58,119,22850,23560
20/08/28,14:59,120,22880,23555
20/08/28,15:00,121,22920,23575
