Election,PrefCode,PrefName_E,PrefName_J,Eligible,Voters,EffVote,Magnitude,Candidates
7,1,Hokkaido,北海道,2903802,1829347,1683764,4,7
7,2,Aomori,青森県,823336,509254,478380,1,5
7,3,Iwate,岩手県,849109,619767,591977,1,3
7,4,Miyagi,宮城県,1049109,694827,666205,1,4
7,5,Akita,秋田県,771983,591315,558603,1,3
7,6,Yamagata,山形県,784438,636550,615414,1,3
7,7,Fukushima,福島県,1123975,893381,855609,2,5
7,8,Ibaraki,茨城県,1246254,785174,750181,2,4
7,9,Tochigi,栃木県,909245,638413,614249,2,6
7,10,Gunma,群馬県,990083,719678,690448,2,6
7,11,Saitama,埼玉県,1749651,1089385,1029434,2,5
7,12,Chiba,千葉県,1627296,955273,885525,2,5
7,13,Tokyo,東京都,6671370,4073403,3867916,4,39
7,14,Kanagawa,神奈川県,2814625,1604918,1504735,2,7
7,15,Nigata,新潟県,1457981,1071937,955155,2,3
7,16,Toyama,富山県,645591,467201,455709,1,3
7,17,Ishikawa,石川県,627196,433213,400422,1,4
7,18,Fukui,福井県,470465,385824,378410,1,4
7,19,Yamanashi,山梨県,462804,365812,354092,1,3
7,20,Nagano,長野県,1254497,944273,897893,2,3
7,21,Gifu,岐阜県,1052527,780626,748067,1,4
7,22,Shizuoka,静岡県,1750334,1259143,1189218,2,3
7,23,Aichi,愛知県,2862571,1837066,1764673,3,8
7,24,Mie,三重県,965773,666479,623648,1,3
7,25,Shiga,滋賀県,540023,368155,351381,1,3
7,26,Kyoto,京都府,1374074,828579,737451,2,4
7,27,Osaka,大阪府,3715169,2398404,2305165,3,10
7,28,Hyogo,兵庫県,2668116,1673236,1608429,3,6
7,29,Nara,奈良県,528310,350730,315134,1,3
7,30,Wakayama,和歌山県,653911,443704,389536,1,3
7,31,Tottori,鳥取県,364184,295879,274322,1,3
7,32,Shimane,島根県,521960,435787,419933,1,4
7,33,Okayama,岡山県,1063303,732422,700717,2,4
7,34,Hiroshima,広島県,1430233,983263,922826,2,3
