"City","Pop","Over3500","Turnout","Over3500F"
"City1",2330,0,53.6444232371025,"Plurality"
"City2",9489,1,49.9124647193362,"PR"
"City3",9306,1,36.129562785804,"PR"
"City4",6876,1,50.0711486305028,"PR"
"City5",4718,1,55.3529021422585,"PR"
"City6",1746,0,54.0863253124778,"Plurality"
"City7",3103,0,64.5608270931354,"Plurality"
"City8",6591,1,51.1998931205373,"PR"
"City9",3249,0,55.4533393225974,"Plurality"
"City10",2504,0,60.1571288441354,"Plurality"
"City11",1746,0,54.3144296254893,"Plurality"
"City12",9491,1,44.874743018993,"PR"
"City13",5561,1,57.1701125961901,"PR"
"City14",4195,1,56.4522582545278,"PR"
"City15",4660,1,56.6969716204428,"PR"
"City16",6401,1,57.2035270954221,"PR"
"City17",6943,1,55.8967700900864,"PR"
"City18",5198,1,61.1834767768662,"PR"
"City19",5678,1,55.0319479645603,"PR"
"City20",9081,1,44.193720061831,"PR"
"City21",7206,1,57.1409125973015,"PR"
"City22",1775,0,61.7709240290054,"Plurality"
"City23",6729,1,52.1972383401501,"PR"
"City24",8454,1,56.3484546009284,"PR"
"City25",2000,0,57.9658941595585,"Plurality"
"City26",3677,1,61.237830567918,"PR"
"City27",6151,1,51.8027971335412,"PR"
"City28",5579,1,50.8636658918644,"PR"
"City29",700,0,55.6777258485067,"Plurality"
"City30",5811,1,60.6283600377075,"PR"
"City31",4852,1,58.901376174371,"PR"
"City32",778,0,68.2203443697281,"Plurality"
"City33",4679,1,57.0491847709023,"PR"
"City34",3201,0,44.0623932461383,"Plurality"
"City35",3452,0,56.6751343274898,"Plurality"
"City36",9994,1,48.2551935498705,"PR"
"City37",2994,0,62.0777122265617,"Plurality"
"City38",6524,1,58.0031334852342,"PR"
"City39",4375,1,60.0186213387439,"PR"
"City40",3846,1,67.3178970220901,"PR"
"City41",8451,1,49.1346983333294,"PR"
"City42",2664,0,63.3399236477253,"Plurality"
"City43",3201,0,55.2033349087214,"Plurality"
"City44",706,0,67.6354623500734,"Plurality"
"City45",3814,1,52.4944614134084,"PR"
"City46",3621,1,65.0016214001856,"PR"
"City47",3105,0,57.7491482889497,"Plurality"
"City48",7272,1,51.9397882832983,"PR"
"City49",8482,1,51.6385680297178,"PR"
"City50",4856,1,54.2036312654072,"PR"
"City51",981,0,49.5729267544619,"Plurality"
"City52",2944,0,47.2648624948534,"Plurality"
"City53",9212,1,45.824916723755,"PR"
"City54",2115,0,58.9152067376959,"Plurality"
"City55",4762,1,56.0536963384718,"PR"
"City56",6604,1,56.3833483225312,"PR"
"City57",5529,1,54.955528184202,"PR"
"City58",6421,1,48.2400024021576,"PR"
"City59",8108,1,49.8301956239847,"PR"
"City60",1101,0,56.4476366117286,"Plurality"
"City61",1246,0,58.9280955936447,"Plurality"
"City62",2985,0,56.3469296951997,"Plurality"
"City63",8634,1,44.0571183087495,"PR"
"City64",5886,1,59.1800030303946,"PR"
"City65",4195,1,64.2342373287086,"PR"
"City66",608,0,55.1088733606122,"Plurality"
"City67",3055,0,63.3433024658067,"Plurality"
"City68",3367,0,46.9780894628402,"Plurality"
"City69",7440,1,50.3732670185224,"PR"
"City70",2923,0,54.598924678221,"Plurality"
"City71",8520,1,47.4800087947565,"PR"
"City72",8911,1,39.8162360506353,"PR"
"City73",9263,1,39.444910943478,"PR"
"City74",2303,0,58.4037469147379,"Plurality"
"City75",274,0,61.410054983143,"Plurality"
"City76",4849,1,55.038613448207,"PR"
"City77",7886,1,43.3880283413702,"PR"
"City78",2284,0,50.764428864571,"Plurality"
"City79",2756,0,51.426128540731,"Plurality"
"City80",8616,1,46.6537877783151,"PR"
"City81",2408,0,53.2620931258562,"Plurality"
"City82",3886,1,62.4138978442356,"PR"
"City83",4414,1,71.2532983179805,"PR"
"City84",5283,1,51.5448004886558,"PR"
"City85",7565,1,56.7855243681001,"PR"
"City86",8377,1,35.713113906703,"PR"
"City87",2528,0,55.9376868134506,"Plurality"
"City88",3998,1,54.1513417420179,"PR"
"City89",2013,0,54.2008463789918,"Plurality"
"City90",8740,1,42.8298021661302,"PR"
"City91",6966,1,45.1708912458854,"PR"
"City92",5530,1,58.2938180509064,"PR"
"City93",4671,1,49.9715068527332,"PR"
"City94",1927,0,52.777864032736,"Plurality"
"City95",5169,1,55.5988272210577,"PR"
"City96",891,0,62.4188636769387,"Plurality"
"City97",7726,1,53.4955615587216,"PR"
"City98",9482,1,45.4114660756497,"PR"
"City99",7571,1,49.3671770175244,"PR"
"City100",1964,0,61.3359203916223,"Plurality"
"City101",4798,1,64.0274940422557,"PR"
"City102",6224,1,48.4609601498323,"PR"
"City103",474,0,59.8114366911024,"Plurality"
"City104",6869,1,49.1408646931389,"PR"
"City105",1434,0,52.018428603057,"Plurality"
"City106",9698,1,41.5523957597456,"PR"
"City107",9530,1,47.9433284248934,"PR"
"City108",795,0,54.2816871191986,"Plurality"
"City109",2584,0,61.0346617394594,"Plurality"
"City110",7789,1,42.4724048941067,"PR"
"City111",842,0,64.5090493147219,"Plurality"
"City112",9311,1,42.4239768580472,"PR"
"City113",889,0,52.9552692623394,"Plurality"
"City114",1942,0,53.3054673083744,"Plurality"
"City115",7892,1,45.6904087770721,"PR"
"City116",6622,1,50.0149622239623,"PR"
"City117",1055,0,45.0369519208576,"Plurality"
"City118",7381,1,51.8487788920532,"PR"
"City119",3285,0,51.267992987575,"Plurality"
"City120",7886,1,44.2620471503328,"PR"
"City121",8203,1,45.3280577845346,"PR"
"City122",1995,0,52.842992912343,"Plurality"
"City123",6872,1,50.4461747841431,"PR"
"City124",6680,1,52.2062684624275,"PR"
"City125",9883,1,43.9317036764735,"PR"
"City126",1694,0,61.6908052886647,"Plurality"
"City127",6372,1,52.0014168496475,"PR"
"City128",5793,1,53.6062368051317,"PR"
"City129",5640,1,54.4761906112547,"PR"
"City130",2934,0,57.2893957918368,"Plurality"
"City131",4510,1,50.1920349566414,"PR"
"City132",8478,1,46.7676689046469,"PR"
"City133",2213,0,62.5272701141727,"Plurality"
"City134",9278,1,35.4092351964339,"PR"
"City135",6062,1,56.9326879977579,"PR"
"City136",5940,1,52.5338114177911,"PR"
"City137",9172,1,41.7933931658564,"PR"
"City138",2741,0,41.7618311595699,"Plurality"
"City139",1181,0,54.5469846114116,"Plurality"
"City140",5745,1,51.5824108154057,"PR"
"City141",1579,0,61.2552367624083,"Plurality"
"City142",3824,1,62.2212416344877,"PR"
"City143",7530,1,52.3637275699037,"PR"
"City144",9495,1,39.9185393509213,"PR"
"City145",3501,1,49.5245693216737,"PR"
"City146",2527,0,43.8307803221391,"Plurality"
"City147",6798,1,51.8305635564671,"PR"
"City148",9474,1,46.9661906309341,"PR"
"City149",8931,1,42.4266937811692,"PR"
"City150",2432,0,51.1913565488009,"Plurality"
"City151",9253,1,47.3306794597296,"PR"
"City152",9271,1,53.8835107386353,"PR"
"City153",3799,1,53.3091397630326,"PR"
"City154",4969,1,59.8240399048222,"PR"
"City155",409,0,58.4493623413347,"Plurality"
"City156",1854,0,60.6726807517006,"Plurality"
"City157",6003,1,45.5933491768325,"PR"
"City158",704,0,55.6941942841975,"Plurality"
"City159",9507,1,41.2390894905125,"PR"
"City160",3916,1,50.1575076459944,"PR"
"City161",2998,0,58.4471564779388,"Plurality"
"City162",3996,1,61.5816388643093,"PR"
"City163",8269,1,50.4066750118314,"PR"
"City164",9085,1,47.5134670206536,"PR"
"City165",6531,1,55.5682884288556,"PR"
"City166",7009,1,53.4816917263013,"PR"
"City167",6284,1,45.6951991539626,"PR"
"City168",2945,0,51.3228521644873,"Plurality"
"City169",9487,1,47.740965779972,"PR"
"City170",805,0,60.5862379208627,"Plurality"
"City171",7063,1,46.3521076584812,"PR"
"City172",5557,1,63.4647066783559,"PR"
"City173",1232,0,56.5713063274186,"Plurality"
"City174",359,0,61.9693746939579,"Plurality"
"City175",5617,1,46.5610652613101,"PR"
"City176",4659,1,53.7927147393879,"PR"
"City177",2075,0,55.0496427916459,"Plurality"
"City178",1026,0,49.0288404979825,"Plurality"
"City179",9647,1,43.9182958263259,"PR"
"City180",8975,1,42.434687344745,"PR"
"City181",7102,1,50.7581115450651,"PR"
"City182",1386,0,48.7608073820686,"Plurality"
"City183",1049,0,62.7522869078192,"Plurality"
"City184",8921,1,46.4461210468242,"PR"
"City185",8828,1,44.5653316161482,"PR"
"City186",2076,0,48.4859669800106,"Plurality"
"City187",3270,0,47.5079894514782,"Plurality"
"City188",179,0,58.0978811121852,"Plurality"
"City189",9392,1,42.9756132701724,"PR"
"City190",8566,1,40.0906006074118,"PR"
"City191",7212,1,51.730906867394,"PR"
"City192",1656,0,52.2665088263703,"Plurality"
"City193",1377,0,54.1040496854907,"Plurality"
"City194",478,0,53.2968907971788,"Plurality"
"City195",2012,0,60.7590182161,"Plurality"
"City196",1190,0,65.1415476763216,"Plurality"
"City197",5017,1,51.6031416808564,"PR"
"City198",5877,1,45.6409858553957,"PR"
"City199",5080,1,47.5362236440174,"PR"
"City200",740,0,55.1484597551069,"Plurality"
"City201",4899,1,57.2514570233342,"PR"
"City202",7685,1,51.2609204990657,"PR"
"City203",8872,1,45.9453854526334,"PR"
"City204",3849,1,73.4146681519239,"PR"
"City205",8752,1,47.2189619158933,"PR"
"City206",6804,1,45.9464589559695,"PR"
"City207",846,0,55.9364349990912,"Plurality"
"City208",6799,1,59.3947243282118,"PR"
"City209",176,0,60.270009556204,"Plurality"
"City210",3921,1,59.9437654952685,"PR"
"City211",9297,1,38.8275934760121,"PR"
"City212",4251,1,59.9831890815985,"PR"
"City213",2281,0,43.2481847806758,"Plurality"
"City214",3844,1,58.9461715678347,"PR"
"City215",9279,1,47.7359942642932,"PR"
"City216",8198,1,51.1344437566463,"PR"
"City217",2791,0,49.6574721168598,"Plurality"
"City218",8823,1,47.954849195623,"PR"
"City219",1558,0,59.4906097796369,"Plurality"
"City220",4483,1,56.0608489009269,"PR"
"City221",6585,1,52.1519944077653,"PR"
"City222",5042,1,44.8419569899652,"PR"
"City223",1801,0,60.1852586721925,"Plurality"
"City224",4486,1,58.222997952183,"PR"
"City225",6719,1,55.435615696026,"PR"
"City226",9927,1,48.0596476633903,"PR"
"City227",6836,1,56.5681404739362,"PR"
"City228",3643,1,51.5604733015892,"PR"
"City229",2200,0,56.3322220488826,"Plurality"
"City230",8428,1,53.0332151983248,"PR"
"City231",1976,0,60.5960558855789,"Plurality"
"City232",4852,1,49.5645791412637,"PR"
"City233",7715,1,47.345078822084,"PR"
"City234",9092,1,40.2351306529369,"PR"
"City235",2707,0,60.1334571261654,"Plurality"
"City236",9571,1,53.4360724042229,"PR"
"City237",6729,1,47.1897609188109,"PR"
"City238",2625,0,51.5114481695838,"Plurality"
"City239",226,0,54.2308602533637,"Plurality"
"City240",7296,1,53.439533264956,"PR"
"City241",6565,1,53.0718721592713,"PR"
"City242",4511,1,51.0340656106857,"PR"
"City243",6872,1,49.6680449410321,"PR"
"City244",4439,1,52.6545030842569,"PR"
"City245",1732,0,62.459003510104,"Plurality"
"City246",7260,1,45.2040771029297,"PR"
"City247",2904,0,55.8532422220701,"Plurality"
"City248",5582,1,55.7955307196016,"PR"
"City249",7059,1,55.9219187415942,"PR"
"City250",3236,0,55.0684237781574,"Plurality"
"City251",6116,1,47.1860049976645,"PR"
"City252",8184,1,55.0188677140121,"PR"
"City253",6652,1,55.0195128876704,"PR"
"City254",64,0,59.4502058309437,"Plurality"
"City255",7525,1,51.2061182804899,"PR"
"City256",7144,1,51.5868486082657,"PR"
"City257",6246,1,57.4467297163957,"PR"
"City258",2290,0,46.1580246961036,"Plurality"
"City259",3906,1,57.9706237275243,"PR"
"City260",6363,1,52.3325352672472,"PR"
"City261",2314,0,56.766086670814,"Plurality"
"City262",3217,0,54.0897662147211,"Plurality"
"City263",7299,1,46.8380283489858,"PR"
"City264",3606,1,57.4215036718726,"PR"
"City265",2715,0,50.255960428837,"Plurality"
"City266",6042,1,47.9360136427127,"PR"
"City267",615,0,61.8271556209032,"Plurality"
"City268",5465,1,51.9875765522754,"PR"
